Id,Sequence,Bins,Eps,Alpha,Sigma,FPS,FPF
9,ball1,3,1e-10,0.01,0.4,157.08,0
6,ball1,3,1e-10,0.001,0.4,154.63,0
11,ball1,3,1e-07,0,0.2,153.54,0
140,ball2,7,1e-10,0.001,0.2,43.16,0.0283
149,ball2,7,1e-07,0.001,0.2,43.08,0.0283
138,ball2,7,1e-10,0,0.4,42.4,0.0283
220,bolt1,3,1e-10,0.001,0.1,134.67,0
227,bolt1,3,1e-07,0,0.2,105.28,0
223,bolt1,3,1e-10,0.01,0.1,138.38,0.0034
357,car1,7,1e-10,0.001,0.4,33.68,0.0067
377,car1,7,0.0001,0.01,0.2,33.22,0.0067
356,car1,7,1e-10,0.001,0.2,32.68,0.0067
484,hand,7,0.0001,0.01,0.1,113.64,0.0261
455,hand,3,0.0001,0.001,0.2,160.33,0.0299
481,hand,7,0.0001,0.001,0.1,121.58,0.0299
